OPEN,SMA 5,SMA 10,EMA 5,EMA 10,MACD,WILLR,SO,AD,RSI,ROC1,ROC2,ROC3,ROC5,ROC10,MFI,HIGH,LOW,VOLUME,CLOSE
0.001845751,0.001769803,0.001627095,0.001833452,0.001678122,0.61542474,0.992643322,0.940917858,0.405054646,0.901223416,0.617597237,0.578556771,0.627387333,0.879146575,0.759690713,0.315360829,0.002110242,0.001924556,0.180698592,0.002206464
0.002192971,0.00194622,0.001717332,0.001968425,0.001790868,0.6158693,0.869565036,0.941902401,0.167302932,0.889314638,0.467012161,0.55475755,0.580476249,0.898135093,0.725360005,0.315353618,0.002311215,0.00223286,0.18788683,0.002040287
0.002010224,0.002036305,0.001783131,0.002002208,0.001852092,0.616009637,0.731343412,0.868871544,0.179824511,0.769523759,0.35994103,0.340396996,0.476339162,0.714102261,0.647449299,0.315399809,0.002128512,0.002083379,0.13273214,0.002114144
0.002010224,0.002111377,0.001854569,0.00204971,0.001915974,0.61613572,0.791045354,0.800421233,0.30863302,0.833797268,0.481887068,0.352310256,0.380056803,0.681179267,0.663636694,0.315362715,0.002073698,0.002083379,0.075937068,0.002132607
0.002147287,0.002171434,0.001935406,0.002087625,0.001971689,0.616171447,0.796874297,0.775739914,0.25572381,0.836073821,0.453032661,0.430160877,0.370087309,0.651217205,0.69562011,0.315351558,0.002146781,0.00213943,0.080660527,0.001947967
0.002046772,0.002128268,0.001997444,0.002050454,0.001982803,0.615952132,0.629033157,0.741001624,0.216796437,0.714453938,0.349416872,0.320487838,0.362328873,0.466634886,0.638277786,0.315364933,0.002073698,0.001971265,0.086397658,0.002104913
0.001937125,0.002107624,0.002075462,0.002078754,0.002021199,0.615845802,0.76229663,0.73124032,0.33010483,0.730145333,0.526370115,0.3789996,0.393614674,0.505814047,0.687019257,0.315363072,0.002055429,0.002008638,0.08590975,0.002206464
0.002055914,0.002141406,0.0021375,0.002131968,0.002071574,0.615757272,0.852459326,0.750113588,0.29902293,0.744249948,0.495635868,0.503166778,0.42434848,0.600779618,0.628573692,0.315361373,0.002201594,0.002083379,0.07288764,0.001975662
0.002229524,0.002113254,0.002161,0.002089384,0.002069699,0.615421329,0.647540674,0.756397606,0.203277352,0.677989371,0.327412185,0.335988651,0.407630258,0.492155192,0.515114393,0.315364805,0.002219863,0.001989954,0.100618508,0.001947967
0.001937125,0.002075719,0.002172279,0.002051627,0.002062995,0.615027437,0.603449046,0.702462705,0.220109603,0.667478542,0.429051623,0.28329001,0.338718202,0.476034494,0.480204493,0.315371492,0.002000616,0.001971265,0.108547021,0.00187411
0.001937125,0.002060704,0.00214314,0.002001475,0.00204372,0.614588198,0.526316587,0.591724625,0.239642286,0.640944428,0.40462728,0.346679673,0.275755953,0.514223267,0.373198845,0.31539815,0.001945808,0.001859157,0.113581732,0.001984893
0.001845751,0.002036305,0.002120581,0.002005507,0.002048633,0.614290397,0.47499802,0.533139718,0.31768906,0.609941359,0.502832035,0.40672677,0.400551647,0.498619347,0.39080478,0.315390662,0.001945808,0.00189653,0.078944435,0.00208645
0.001918851,0.002011908,0.002125281,0.002042543,0.002071613,0.614151208,0.602568363,0.532840692,0.296146449,0.59915519,0.496789464,0.484360205,0.449997746,0.499385992,0.461549583,0.315395298,0.002073698,0.002008638,0.071676281,0.002160302
0.002101598,0.002049443,0.00212998,0.002092213,0.002104204,0.614111726,0.629028512,0.567715364,0.306412433,0.594672588,0.481564601,0.466482727,0.508004421,0.608192299,0.46138202,0.315413003,0.002110242,0.002120747,0.056454377,0.002206464
0.002129008,0.002101993,0.0021375,0.002140941,0.002139489,0.614045274,0.709677719,0.647398203,0.269526424,0.513414061,0.467012161,0.441583365,0.481195967,0.635483504,0.468718828,0.315443192,0.002238133,0.002167461,0.100631126,0.002132607
0.002174697,0.002154543,0.0021563,0.002148448,0.002154569,0.613862798,0.666666667,0.669162058,0.265504752,0.470388026,0.40640966,0.379057199,0.4142488,0.636793421,0.499909333,0.316091582,0.00216505,0.002102063,0.07163422,0.002169539
0.002028498,0.002192079,0.002162879,0.002165944,0.002173803,0.613739227,0.740746667,0.707094694,0.276356404,0.547189582,0.462420372,0.375317741,0.400437879,0.60808025,0.466345998,0.315433244,0.002183319,0.002120747,0.062889722,0.00208645
0.002119871,0.002192079,0.00215066,0.002149507,0.002174028,0.613533628,0.57408,0.661054022,0.23376515,0.485917286,0.401487937,0.371229605,0.353243464,0.541170201,0.417500214,0.315643464,0.002128512,0.002120747,0.064517486,0.002095682
0.002046772,0.002178942,0.00216288,0.00214167,0.002175935,0.613338363,0.592597333,0.635904617,0.284317908,0.482233128,0.448332537,0.35977688,0.383385847,0.518486676,0.481939746,0.312870417,0.002073698,0.002064695,0.049960147,0.002289553
0.002092461,0.002195833,0.002197659,0.002202016,0.002213692,0.613301555,0.981482667,0.717643804,0.303349336,0.629254685,0.543120601,0.47684244,0.441123454,0.5700983,0.543142366,0.315661637,0.002238133,0.002158119,0.047129437,0.00224339
0.002247797,0.002218354,0.002235258,0.002226635,0.002235966,0.613174743,0.888885333,0.824532396,0.270659697,0.555341085,0.420686195,0.453231176,0.455553337,0.58025125,0.552184049,0.3158121,0.002238133,0.00223286,0.040218802,0.00215107
0.002229524,0.0022146,0.002252177,0.002211825,0.002236954,0.61292896,0.703701333,0.862256503,0.237651799,0.47301544,0.397418194,0.333970573,0.417656263,0.534697996,0.494512057,0.314505893,0.002238133,0.002195487,0.039861283,0.00205875
0.002110734,0.002208969,0.002249357,0.002170727,0.002220526,0.612676485,0.518517333,0.705061858,0.209049815,0.536770513,0.396656369,0.314463867,0.314035006,0.531316971,0.44160823,0.313392887,0.002146781,0.002102063,0.085796185,0.002077213
0.002083324,0.002205215,0.002240897,0.002149571,0.002210532,0.612507382,0.555552,0.591882293,0.236158009,0.559596006,0.453127774,0.35967495,0.33679143,0.534611699,0.427026711,0.31084785,0.002082833,0.002120747,0.061110539,0.002188002
0.002046772,0.00218457,0.002239017,0.002172937,0.002223039,0.612487117,0.760002304,0.610998651,0.293726863,0.644317566,0.500655145,0.445779164,0.41064986,0.506326455,0.444194251,0.315519053,0.002146781,0.002120747,0.042132581,0.002206464
0.002183834,0.002177064,0.002246537,0.00219476,0.002236719,0.612580834,0.736842903,0.68512863,0.254962911,0.610541656,0.452908758,0.445594813,0.452390694,0.528397567,0.468718828,0.315650403,0.002201594,0.002242202,0.034628885,0.002169539
0.002174697,0.002180818,0.002246537,0.00219682,0.002241019,0.612637394,0.562505625,0.687489655,0.272862455,0.542329529,0.424998718,0.382961026,0.431519756,0.547663772,0.449047458,0.313814725,0.002146781,0.002176803,0.041072642,0.002003362
0.00213815,0.002169558,0.002238077,0.00214199,0.002213511,0.612467007,0.030318369,0.439733724,0.232110131,0.418188615,0.359390775,0.306297495,0.329439238,0.521368336,0.42673263,0.315056971,0.002110242,0.002055348,0.041754031,0.00187411
0.001946261,0.002128269,0.002215518,0.00206172,0.002166872,0.612223506,0.079995392,0.216708577,0.223803714,0.34293705,0.376101561,0.267143742,0.275755953,0.46880239,0.389639945,0.315156605,0.001927533,0.00189653,0.099306203,0.001892573
0.001809204,0.002068212,0.002175099,0.002014448,0.00213216,0.612054645,0.214282776,0.098473445,0.311994669,0.379795806,0.453459115,0.342923831,0.29530367,0.437976703,0.346208849,0.31515424,0.001854451,0.001840473,0.076429183,0.00196643
0.001854888,0.002019415,0.0021469,0.002007912,0.002117547,0.61193326,0.357141388,0.209442507,0.280165771,0.401126855,0.482947339,0.431395449,0.383059859,0.457599932,0.376717871,0.31515301,0.001964077,0.001915214,0.050073712,0.002040287
0.001955398,0.00199314,0.00213562,0.002028534,0.00211938,0.611956071,0.5,0.352050323,0.278594356,0.474766931,0.482409966,0.455615358,0.461471236,0.495874079,0.419638485,0.315025508,0.002018885,0.002027322,0.044176749,0.002003362
0.002010224,0.00199314,0.002129981,0.002029793,0.002113986,0.611977592,0.428575837,0.42481111,0.244674942,0.453964284,0.424435494,0.406674226,0.439846706,0.541170201,0.434096971,0.309740088,0.00203716,0.002046006,0.034162007,0.002132607
